Loc_ID,latitude,longitude,date,minimum temperature,maximum temperature,GDD,accmulated GDD,daylength
-12.038055_-55.5397222_2018-12-06,-12.03055,-55.5397222,12/6/2018,21.66,30.30,,,
-12.038055_-55.5397222_2018-12-06,,,12/7/2018,22.17,30.67,,,
-12.038055_-55.5397222_2018-12-06,,,12/8/2018,22.13,27.91,,,
-12.038055_-55.5397222_2018-12-06,,,12/9/2018,22.81,27.39,,,
-12.038055_-55.5397222_2018-12-06,,,12/10/2018,21.96,26.60,,,
-12.038055_-55.5397222_2018-12-06,,,12/11/2018,22.18,30.78,,,
-12.038055_-55.5397222_2018-12-06,,,12/12/2018,22.24,32.38,,,
-12.038055_-55.5397222_2018-12-06,,,12/13/2018,20.81,30.05,,,
-12.038055_-55.5397222_2018-12-06,,,12/14/2018,20.40,31.94,,,
-12.038055_-55.5397222_2018-12-06,,,12/15/2018,21.21,32.13,,,
-12.038055_-55.5397222_2018-12-06,,,12/16/2018,20.42,32.90,,,
-12.038055_-55.5397222_2018-12-06,,,12/17/2018,19.80,33.12,,,
-12.038055_-55.5397222_2018-12-06,,,12/18/2018,20.90,29.59,,,
-12.038055_-55.5397222_2018-12-06,,,12/19/2018,20.44,32.70,,,
-12.038055_-55.5397222_2018-12-06,,,12/20/2018,21.55,31.69,,,
-12.038055_-55.5397222_2018-12-06,,,12/21/2018,21.11,31.23,,,
-12.038055_-55.5397222_2018-12-06,,,12/22/2018,21.49,33.29,,,
-12.038055_-55.5397222_2018-12-06,,,12/23/2018,21.55,30.37,,,
-12.038055_-55.5397222_2018-12-06,,,12/24/2018,20.86,30.50,,,
-12.038055_-55.5397222_2018-12-06,,,12/25/2018,22.73,31.45,,,
-12.038055_-55.5397222_2018-12-06,,,12/26/2018,21.62,29.35,,,
-12.038055_-55.5397222_2018-12-06,,,12/27/2018,22.43,29.53,,,
-12.038055_-55.5397222_2018-12-06,,,12/28/2018,21.89,28.58,,,
-12.038055_-55.5397222_2018-12-06,,,12/29/2018,20.64,28.31,,,
-12.038055_-55.5397222_2018-12-06,,,12/30/2018,22.01,28.13,,,
-12.038055_-55.5397222_2018-12-06,,,12/31/2018,21.78,28.05,,,
-12.038055_-55.5397222_2018-12-06,,,1/1/2019,21.71,27.97,,,
-12.038055_-55.5397222_2018-12-06,,,1/2/2019,21.04,29.88,,,
-12.038055_-55.5397222_2018-12-06,,,1/3/2019,20.36,32.71,,,
-12.038055_-55.5397222_2018-12-06,,,1/4/2019,21.72,30.06,,,
-12.038055_-55.5397222_2018-12-06,,,1/5/2019,21.01,30.33,,,
-12.038055_-55.5397222_2018-12-06,,,1/6/2019,22.14,30.45,,,
-12.038055_-55.5397222_2018-12-06,,,1/7/2019,21.69,26.81,,,
-12.038055_-55.5397222_2018-12-06,,,1/8/2019,21.40,31.37,,,
-12.038055_-55.5397222_2018-12-06,,,1/9/2019,20.62,31.75,,,
-12.038055_-55.5397222_2018-12-06,,,1/10/2019,20.83,29.43,,,
-12.038055_-55.5397222_2018-12-06,,,1/11/2019,20.22,28.78,,,
-12.038055_-55.5397222_2018-12-06,,,1/12/2019,21.15,31.87,,,
-12.038055_-55.5397222_2018-12-06,,,1/13/2019,21.42,31.89,,,
-12.038055_-55.5397222_2018-12-06,,,1/14/2019,20.36,28.30,,,
-12.038055_-55.5397222_2018-12-06,,,1/15/2019,20.19,31.40,,,
-12.038055_-55.5397222_2018-12-06,,,1/16/2019,21.30,33.49,,,
-12.038055_-55.5397222_2018-12-06,,,1/17/2019,22.23,34.93,,,
-12.038055_-55.5397222_2018-12-06,,,1/18/2019,20.97,31.13,,,
-12.038055_-55.5397222_2018-12-06,,,1/19/2019,20.83,33.94,,,
-12.038055_-55.5397222_2018-12-06,,,1/20/2019,20.19,31.86,,,
-12.038055_-55.5397222_2018-12-06,,,1/21/2019,20.98,33.43,,,
-12.038055_-55.5397222_2018-12-06,,,1/22/2019,22.35,33.29,,,
-12.038055_-55.5397222_2018-12-06,,,1/23/2019,21.55,32.29,,,
-12.038055_-55.5397222_2018-12-06,,,1/24/2019,21.99,33.21,,,
-12.038055_-55.5397222_2018-12-06,,,1/25/2019,22.10,32.55,,,
-12.038055_-55.5397222_2018-12-06,,,1/26/2019,22.36,29.81,,,
-12.038055_-55.5397222_2018-12-06,,,1/27/2019,20.41,26.53,,,
-12.038055_-55.5397222_2018-12-06,,,1/28/2019,21.72,22.87,,,
-12.038055_-55.5397222_2018-12-06,,,1/29/2019,20.78,24.26,,,
-12.038055_-55.5397222_2018-12-06,,,1/30/2019,21.16,33.75,,,
-12.038055_-55.5397222_2018-12-06,,,1/31/2019,21.63,33.00,,,
-12.038055_-55.5397222_2018-12-06,,,2/1/2019,22.15,33.51,,,
-12.038055_-55.5397222_2018-12-06,,,2/2/2019,20.36,33.53,,,
-12.038055_-55.5397222_2018-12-06,,,2/3/2019,21.68,32.99,,,
-12.038055_-55.5397222_2018-12-06,,,2/4/2019,21.61,34.30,,,
-12.038055_-55.5397222_2018-12-06,,,2/5/2019,21.77,34.80,,,
-12.038055_-55.5397222_2018-12-06,,,2/6/2019,22.04,31.04,,,
-12.038055_-55.5397222_2018-12-06,,,2/7/2019,22.59,31.02,,,
-12.038055_-55.5397222_2018-12-06,,,2/8/2019,21.07,29.45,,,
-12.038055_-55.5397222_2018-12-06,,,2/9/2019,22.32,30.45,,,
-12.038055_-55.5397222_2018-12-06,,,2/10/2019,22.15,31.62,,,
-12.038055_-55.5397222_2018-12-06,,,2/11/2019,22.67,32.37,,,
-12.038055_-55.5397222_2018-12-06,,,2/12/2019,22.53,31.93,,,
-12.038055_-55.5397222_2018-12-06,,,2/13/2019,22.05,32.81,,,
-12.038055_-55.5397222_2018-12-06,,,2/14/2019,22.19,30.17,,,
-12.038055_-55.5397222_2018-12-06,,,2/15/2019,22.33,30.70,,,
-12.038055_-55.5397222_2018-12-06,,,2/16/2019,22.13,25.90,,,
-12.038055_-55.5397222_2018-12-06,,,2/17/2019,21.85,28.43,,,
-12.038055_-55.5397222_2018-12-06,,,2/18/2019,20.98,30.26,,,
-12.038055_-55.5397222_2018-12-06,,,2/19/2019,22.36,28.32,,,
-12.038055_-55.5397222_2018-12-06,,,2/20/2019,21.82,30.16,,,
-12.038055_-55.5397222_2018-12-06,,,2/21/2019,22.52,30.76,,,
-12.038055_-55.5397222_2018-12-06,,,2/22/2019,21.73,27.45,,,
-12.038055_-55.5397222_2018-12-06,,,2/23/2019,21.46,31.56,,,
-12.038055_-55.5397222_2018-12-06,,,2/24/2019,22.06,31.88,,,
-12.038055_-55.5397222_2018-12-06,,,2/25/2019,21.50,30.75,,,
-12.038055_-55.5397222_2018-12-06,,,2/26/2019,21.12,27.26,,,
-12.038055_-55.5397222_2018-12-06,,,2/27/2019,21.55,29.50,,,
-12.038055_-55.5397222_2018-12-06,,,2/28/2019,21.59,27.70,,,
-12.038055_-55.5397222_2018-12-06,,,3/1/2019,21.33,29.39,,,
-12.038055_-55.5397222_2018-12-06,,,3/2/2019,22.56,29.46,,,
-12.038055_-55.5397222_2018-12-06,,,3/3/2019,21.60,30.08,,,
-12.038055_-55.5397222_2018-12-06,,,3/4/2019,22.59,29.86,,,
-12.038055_-55.5397222_2018-12-06,,,3/5/2019,21.11,25.49,,,
-12.038055_-55.5397222_2018-12-06,,,3/6/2019,21.07,28.78,,,
-12.038055_-55.5397222_2018-12-06,,,3/7/2019,21.71,29.96,,,
-12.038055_-55.5397222_2018-12-06,,,3/8/2019,22.04,32.49,,,
-12.038055_-55.5397222_2018-12-06,,,3/9/2019,21.28,30.82,,,
-12.038055_-55.5397222_2018-12-06,,,3/10/2019,21.56,30.65,,,
-12.038055_-55.5397222_2018-12-06,,,3/11/2019,22.24,30.23,,,
-12.038055_-55.5397222_2018-12-06,,,3/12/2019,21.98,28.44,,,
-12.038055_-55.5397222_2018-12-06,,,3/13/2019,21.63,30.97,,,
-12.038055_-55.5397222_2018-12-06,,,3/14/2019,21.79,31.25,,,
-12.038055_-55.5397222_2018-12-06,,,3/15/2019,22.08,32.72,,,
-12.038055_-55.5397222_2018-12-06,,,3/16/2019,22.23,30.77,,,
-12.038055_-55.5397222_2018-12-06,,,3/17/2019,21.95,32.25,,,
-12.038055_-55.5397222_2018-12-06,,,3/18/2019,22.52,30.98,,,
-12.038055_-55.5397222_2018-12-06,,,3/19/2019,22.09,31.03,,,
-12.038055_-55.5397222_2018-12-06,,,3/20/2019,22.77,28.84,,,
-12.038055_-55.5397222_2018-12-06,,,3/21/2019,22.03,29.33,,,
-12.038055_-55.5397222_2018-12-06,,,3/22/2019,22.67,30.86,,,
-12.038055_-55.5397222_2018-12-06,,,3/23/2019,22.26,31.41,,,
-12.038055_-55.5397222_2018-12-06,,,3/24/2019,21.83,31.02,,,
-12.038055_-55.5397222_2018-12-06,,,3/25/2019,21.94,30.02,,,
-12.038055_-55.5397222_2018-12-06,,,3/26/2019,22.41,28.38,,,
-12.038055_-55.5397222_2018-12-06,,,3/27/2019,22.02,25.45,,,
-12.038055_-55.5397222_2018-12-06,,,3/28/2019,22.07,30.28,,,
-12.038055_-55.5397222_2018-12-06,,,3/29/2019,22.03,30.88,,,
-12.038055_-55.5397222_2018-12-06,,,3/30/2019,21.50,31.40,,,
-12.038055_-55.5397222_2018-12-06,,,3/31/2019,21.72,31.62,,,
-12.038055_-55.5397222_2018-12-06,,,4/1/2019,22.24,32.35,,,
-12.038055_-55.5397222_2018-12-06,,,4/2/2019,22.31,29.91,,,
-12.038055_-55.5397222_2018-12-06,,,4/3/2019,22.88,29.56,,,
-12.038055_-55.5397222_2018-12-06,,,4/4/2019,21.55,30.51,,,
-12.038055_-55.5397222_2018-12-06,,,4/5/2019,23.00,30.36,,,
-12.038055_-55.5397222_2018-12-06,,,4/6/2019,21.13,26.33,,,
-12.038055_-55.5397222_2018-12-06,,,4/7/2019,21.22,27.92,,,
-12.038055_-55.5397222_2018-12-06,,,4/8/2019,21.03,27.70,,,
-12.038055_-55.5397222_2018-12-06,,,4/9/2019,21.83,29.91,,,
-12.038055_-55.5397222_2018-12-06,,,4/10/2019,22.30,28.52,,,
-12.038055_-55.5397222_2018-12-06,,,4/11/2019,20.16,23.92,,,
-12.038055_-55.5397222_2018-12-06,,,4/12/2019,19.47,29.89,,,
-12.038055_-55.5397222_2018-12-06,,,4/13/2019,21.45,29.49,,,
-12.038055_-55.5397222_2018-12-06,,,4/14/2019,20.95,31.01,,,
-12.038055_-55.5397222_2018-12-06,,,4/15/2019,22.46,32.14,,,
-12.038055_-55.5397222_2018-12-06,,,4/16/2019,22.49,32.18,,,
-12.038055_-55.5397222_2018-12-06,,,4/17/2019,21.68,31.28,,,
-12.038055_-55.5397222_2018-12-06,,,4/18/2019,21.08,31.41,,,
-12.038055_-55.5397222_2018-12-06,,,4/19/2019,22.08,32.54,,,
-12.038055_-55.5397222_2018-12-06,,,4/20/2019,22.89,31.90,,,
-12.038055_-55.5397222_2018-12-06,,,4/21/2019,23.04,30.64,,,
-12.038055_-55.5397222_2018-12-06,,,4/22/2019,21.30,31.19,,,
-12.038055_-55.5397222_2018-12-06,,,4/23/2019,21.51,30.97,,,
-12.038055_-55.5397222_2018-12-06,,,4/24/2019,22.21,31.33,,,
-12.038055_-55.5397222_2018-12-06,,,4/25/2019,20.90,31.95,,,
-12.038055_-55.5397222_2018-12-06,,,4/26/2019,21.86,32.46,,,
-12.038055_-55.5397222_2018-12-06,,,4/27/2019,21.65,32.38,,,
-12.038055_-55.5397222_2018-12-06,,,4/28/2019,21.38,32.76,,,
-12.038055_-55.5397222_2018-12-06,,,4/29/2019,23.38,32.52,,,
-12.038055_-55.5397222_2018-12-06,,,4/30/2019,22.37,28.47,,,
-12.038055_-55.5397222_2018-12-06,,,5/1/2019,22.02,31.56,,,
-12.038055_-55.5397222_2018-12-06,,,5/2/2019,22.51,32.07,,,
-12.038055_-55.5397222_2018-12-06,,,5/3/2019,22.40,29.68,,,
-12.038055_-55.5397222_2018-12-06,,,5/4/2019,21.30,30.97,,,
-12.038055_-55.5397222_2018-12-06,,,5/5/2019,21.00,32.83,,,
-12.038055_-55.5397222_2018-12-06,,,5/6/2019,22.02,33.94,,,
-12.038055_-55.5397222_2018-12-06,,,5/7/2019,20.94,32.64,,,
-12.038055_-55.5397222_2018-12-06,,,5/8/2019,21.38,31.77,,,
-12.038055_-55.5397222_2018-12-06,,,5/9/2019,21.20,32.67,,,
-12.038055_-55.5397222_2018-12-06,,,5/10/2019,20.37,34.05,,,
-12.038055_-55.5397222_2018-12-06,,,5/11/2019,22.02,33.15,,,
-12.038055_-55.5397222_2018-12-06,,,5/12/2019,21.76,32.82,,,
-12.038055_-55.5397222_2018-12-06,,,5/13/2019,20.25,29.80,,,
-12.038055_-55.5397222_2018-12-06,,,5/14/2019,20.98,31.29,,,
-12.038055_-55.5397222_2018-12-06,,,5/15/2019,19.69,26.66,,,
-12.038055_-55.5397222_2018-12-06,,,5/16/2019,16.75,30.48,,,
-12.038055_-55.5397222_2018-12-06,,,5/17/2019,17.56,29.91,,,
-12.038055_-55.5397222_2018-12-06,,,5/18/2019,18.58,31.74,,,
-12.038055_-55.5397222_2018-12-06,,,5/19/2019,18.31,32.56,,,
-12.038055_-55.5397222_2018-12-06,,,5/20/2019,17.34,33.87,,,
-12.038055_-55.5397222_2018-12-06,,,5/21/2019,18.96,32.97,,,
-12.038055_-55.5397222_2018-12-06,,,5/22/2019,21.17,33.24,,,
-12.038055_-55.5397222_2018-12-06,,,5/23/2019,19.28,33.97,,,
-12.038055_-55.5397222_2018-12-06,,,5/24/2019,19.37,28.67,,,
-12.038055_-55.5397222_2018-12-06,,,5/25/2019,18.46,31.80,,,
-12.038055_-55.5397222_2018-12-06,,,5/26/2019,20.02,32.74,,,
-12.038055_-55.5397222_2018-12-06,,,5/27/2019,20.28,33.86,,,
-12.038055_-55.5397222_2018-12-06,,,5/28/2019,20.49,33.08,,,
-12.038055_-55.5397222_2018-12-06,,,5/29/2019,20.53,33.05,,,
-12.038055_-55.5397222_2018-12-06,,,5/30/2019,19.20,33.49,,,
-12.038055_-55.5397222_2018-12-06,,,5/31/2019,19.58,33.62,,,
-12.038055_-55.5397222_2018-12-06,,,6/1/2019,19.15,34.74,,,
-12.038055_-55.5397222_2018-12-06,,,6/2/2019,19.44,34.04,,,
-12.038055_-55.5397222_2018-12-06,,,6/3/2019,19.73,33.11,,,
-12.038055_-55.5397222_2018-12-06,,,6/4/2019,17.85,32.01,,,
-12.038055_-55.5397222_2018-12-06,,,6/5/2019,17.80,32.67,,,
-12.038055_-55.5397222_2018-12-06,,,6/6/2019,19.77,32.81,,,
-12.038055_-55.5397222_2018-12-06,,,6/7/2019,18.27,31.56,,,
-12.038055_-55.5397222_2018-12-06,,,6/8/2019,17.15,32.22,,,
-12.038055_-55.5397222_2018-12-06,,,6/9/2019,18.08,32.66,,,
-12.038055_-55.5397222_2018-12-06,,,6/10/2019,18.43,33.64,,,
-12.038055_-55.5397222_2018-12-06,,,6/11/2019,18.45,33.06,,,
-12.038055_-55.5397222_2018-12-06,,,6/12/2019,17.11,32.67,,,
-12.038055_-55.5397222_2018-12-06,,,6/13/2019,17.50,32.91,,,
-12.038055_-55.5397222_2018-12-06,,,6/14/2019,17.81,33.28,,,
-12.038055_-55.5397222_2018-12-06,,,6/15/2019,17.12,32.98,,,
-12.038055_-55.5397222_2018-12-06,,,6/16/2019,18.00,32.68,,,
-12.038055_-55.5397222_2018-12-06,,,6/17/2019,15.99,32.55,,,
-12.038055_-55.5397222_2018-12-06,,,6/18/2019,15.59,32.30,,,
-12.038055_-55.5397222_2018-12-06,,,6/19/2019,17.37,34.31,,,
-12.038055_-55.5397222_2018-12-06,,,6/20/2019,18.00,33.41,,,
-12.038055_-55.5397222_2018-12-06,,,6/21/2019,18.30,33.19,,,
-12.038055_-55.5397222_2018-12-06,,,6/22/2019,17.16,32.95,,,
-12.038055_-55.5397222_2018-12-06,,,6/23/2019,16.23,31.89,,,
